circuit,term_side,termination_type,termination_id,port_speed,upstream_speed,description
FR-Agency1-PRI-001,A,dcim.site,95,1000000,1000000,Primary circuit termination at FR-Agency1
FR-Agency1-BKP-001,A,dcim.site,95,500000,500000,Backup circuit termination at FR-Agency1
FR-Agency2-PRI-001,A,dcim.site,96,1000000,1000000,Primary circuit termination at FR-Agency2
FR-Agency2-BKP-001,A,dcim.site,96,500000,500000,Backup circuit termination at FR-Agency2
DE-Agency1-PRI-001,A,dcim.site,97,1000000,1000000,Primary circuit termination at DE-Agency1
DE-Agency1-BKP-001,A,dcim.site,97,500000,500000,Backup circuit termination at DE-Agency1
DE-Agency2-PRI-001,A,dcim.site,98,1000000,1000000,Primary circuit termination at DE-Agency2
DE-Agency2-BKP-001,A,dcim.site,98,500000,500000,Backup circuit termination at DE-Agency2
GB-Agency1-PRI-001,A,dcim.site,99,1000000,1000000,Primary circuit termination at GB-Agency1
GB-Agency1-BKP-001,A,dcim.site,99,500000,500000,Backup circuit termination at GB-Agency1
GB-Agency2-PRI-001,A,dcim.site,100,1000000,1000000,Primary circuit termination at GB-Agency2
GB-Agency2-BKP-001,A,dcim.site,100,500000,500000,Backup circuit termination at GB-Agency2
NL-Agency1-PRI-001,A,dcim.site,101,1000000,1000000,Primary circuit termination at NL-Agency1
NL-Agency1-BKP-001,A,dcim.site,101,500000,500000,Backup circuit termination at NL-Agency1
NL-Agency2-PRI-001,A,dcim.site,102,1000000,1000000,Primary circuit termination at NL-Agency2
NL-Agency2-BKP-001,A,dcim.site,102,500000,500000,Backup circuit termination at NL-Agency2
BE-Agency1-PRI-001,A,dcim.site,103,1000000,1000000,Primary circuit termination at BE-Agency1
BE-Agency1-BKP-001,A,dcim.site,103,500000,500000,Backup circuit termination at BE-Agency1
BE-Agency2-PRI-001,A,dcim.site,104,1000000,1000000,Primary circuit termination at BE-Agency2
BE-Agency2-BKP-001,A,dcim.site,104,500000,500000,Backup circuit termination at BE-Agency2
LU-Agency1-PRI-001,A,dcim.site,105,1000000,1000000,Primary circuit termination at LU-Agency1
LU-Agency1-BKP-001,A,dcim.site,105,500000,500000,Backup circuit termination at LU-Agency1
LU-Agency2-PRI-001,A,dcim.site,106,1000000,1000000,Primary circuit termination at LU-Agency2
LU-Agency2-BKP-001,A,dcim.site,106,500000,500000,Backup circuit termination at LU-Agency2
CH-Agency1-PRI-001,A,dcim.site,107,1000000,1000000,Primary circuit termination at CH-Agency1
CH-Agency1-BKP-001,A,dcim.site,107,500000,500000,Backup circuit termination at CH-Agency1
CH-Agency2-PRI-001,A,dcim.site,108,1000000,1000000,Primary circuit termination at CH-Agency2
CH-Agency2-BKP-001,A,dcim.site,108,500000,500000,Backup circuit termination at CH-Agency2
AT-Agency1-PRI-001,A,dcim.site,109,1000000,1000000,Primary circuit termination at AT-Agency1
AT-Agency1-BKP-001,A,dcim.site,109,500000,500000,Backup circuit termination at AT-Agency1
AT-Agency2-PRI-001,A,dcim.site,110,1000000,1000000,Primary circuit termination at AT-Agency2
AT-Agency2-BKP-001,A,dcim.site,110,500000,500000,Backup circuit termination at AT-Agency2
IE-Agency1-PRI-001,A,dcim.site,111,1000000,1000000,Primary circuit termination at IE-Agency1
IE-Agency1-BKP-001,A,dcim.site,111,500000,500000,Backup circuit termination at IE-Agency1
IE-Agency2-PRI-001,A,dcim.site,112,1000000,1000000,Primary circuit termination at IE-Agency2
IE-Agency2-BKP-001,A,dcim.site,112,500000,500000,Backup circuit termination at IE-Agency2
MC-Agency1-PRI-001,A,dcim.site,113,1000000,1000000,Primary circuit termination at MC-Agency1
MC-Agency1-BKP-001,A,dcim.site,113,500000,500000,Backup circuit termination at MC-Agency1
MC-Agency2-PRI-001,A,dcim.site,114,1000000,1000000,Primary circuit termination at MC-Agency2
MC-Agency2-BKP-001,A,dcim.site,114,500000,500000,Backup circuit termination at MC-Agency2
ES-Agency1-PRI-001,A,dcim.site,115,1000000,1000000,Primary circuit termination at ES-Agency1
ES-Agency1-BKP-001,A,dcim.site,115,500000,500000,Backup circuit termination at ES-Agency1
ES-Agency2-PRI-001,A,dcim.site,116,1000000,1000000,Primary circuit termination at ES-Agency2
ES-Agency2-BKP-001,A,dcim.site,116,500000,500000,Backup circuit termination at ES-Agency2
PT-Agency1-PRI-001,A,dcim.site,117,1000000,1000000,Primary circuit termination at PT-Agency1
PT-Agency1-BKP-001,A,dcim.site,117,500000,500000,Backup circuit termination at PT-Agency1
PT-Agency2-PRI-001,A,dcim.site,118,1000000,1000000,Primary circuit termination at PT-Agency2
PT-Agency2-BKP-001,A,dcim.site,118,500000,500000,Backup circuit termination at PT-Agency2
IT-Agency1-PRI-001,A,dcim.site,119,1000000,1000000,Primary circuit termination at IT-Agency1
IT-Agency1-BKP-001,A,dcim.site,119,500000,500000,Backup circuit termination at IT-Agency1
IT-Agency2-PRI-001,A,dcim.site,120,1000000,1000000,Primary circuit termination at IT-Agency2
IT-Agency2-BKP-001,A,dcim.site,120,500000,500000,Backup circuit termination at IT-Agency2
GR-Agency1-PRI-001,A,dcim.site,121,1000000,1000000,Primary circuit termination at GR-Agency1
GR-Agency1-BKP-001,A,dcim.site,121,500000,500000,Backup circuit termination at GR-Agency1
GR-Agency2-PRI-001,A,dcim.site,122,1000000,1000000,Primary circuit termination at GR-Agency2
GR-Agency2-BKP-001,A,dcim.site,122,500000,500000,Backup circuit termination at GR-Agency2
MT-Agency1-PRI-001,A,dcim.site,123,1000000,1000000,Primary circuit termination at MT-Agency1
MT-Agency1-BKP-001,A,dcim.site,123,500000,500000,Backup circuit termination at MT-Agency1
MT-Agency2-PRI-001,A,dcim.site,124,1000000,1000000,Primary circuit termination at MT-Agency2
MT-Agency2-BKP-001,A,dcim.site,124,500000,500000,Backup circuit termination at MT-Agency2
CY-Agency1-PRI-001,A,dcim.site,125,1000000,1000000,Primary circuit termination at CY-Agency1
CY-Agency1-BKP-001,A,dcim.site,125,500000,500000,Backup circuit termination at CY-Agency1
CY-Agency2-PRI-001,A,dcim.site,126,1000000,1000000,Primary circuit termination at CY-Agency2
CY-Agency2-BKP-001,A,dcim.site,126,500000,500000,Backup circuit termination at CY-Agency2
AD-Agency1-PRI-001,A,dcim.site,127,1000000,1000000,Primary circuit termination at AD-Agency1
AD-Agency1-BKP-001,A,dcim.site,127,500000,500000,Backup circuit termination at AD-Agency1
AD-Agency2-PRI-001,A,dcim.site,128,1000000,1000000,Primary circuit termination at AD-Agency2
AD-Agency2-BKP-001,A,dcim.site,128,500000,500000,Backup circuit termination at AD-Agency2
SM-Agency1-PRI-001,A,dcim.site,129,1000000,1000000,Primary circuit termination at SM-Agency1
