name,site,location,status,rack_type,description
EMEA-DC-CLOUD-NET-R01,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Network Core,active,Standard 42U Rack,Rack NET-R01 in Network Core
EMEA-DC-CLOUD-NET-R02,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Network Core,active,Standard 42U Rack,Rack NET-R02 in Network Core
EMEA-DC-CLOUD-NET-R03,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Network Core,active,Standard 42U Rack,Rack NET-R03 in Network Core
EMEA-DC-CLOUD-NET-R04,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Network Core,active,Standard 42U Rack,Rack NET-R04 in Network Core
EMEA-DC-CLOUD-SRV-A-R01,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,active,Standard 42U Rack,Rack SRV-A-R01 in Server Hall A
EMEA-DC-CLOUD-SRV-A-R02,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,active,Standard 42U Rack,Rack SRV-A-R02 in Server Hall A
EMEA-DC-CLOUD-SRV-A-R03,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,active,Standard 42U Rack,Rack SRV-A-R03 in Server Hall A
EMEA-DC-CLOUD-SRV-A-R04,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,active,Standard 42U Rack,Rack SRV-A-R04 in Server Hall A
EMEA-DC-CLOUD-SRV-A-R05,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,active,Standard 42U Rack,Rack SRV-A-R05 in Server Hall A
EMEA-DC-CLOUD-SRV-A-R06,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall A,active,Standard 42U Rack,Rack SRV-A-R06 in Server Hall A
EMEA-DC-CLOUD-SRV-B-R01,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,active,Standard 42U Rack,Rack SRV-B-R01 in Server Hall B
EMEA-DC-CLOUD-SRV-B-R02,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,active,Standard 42U Rack,Rack SRV-B-R02 in Server Hall B
EMEA-DC-CLOUD-SRV-B-R03,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,active,Standard 42U Rack,Rack SRV-B-R03 in Server Hall B
EMEA-DC-CLOUD-SRV-B-R04,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,active,Standard 42U Rack,Rack SRV-B-R04 in Server Hall B
EMEA-DC-CLOUD-SRV-B-R05,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,active,Standard 42U Rack,Rack SRV-B-R05 in Server Hall B
EMEA-DC-CLOUD-SRV-B-R06,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,active,Standard 42U Rack,Rack SRV-B-R06 in Server Hall B
EMEA-DC-CLOUD-STG-R01,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Storage Room,active,Standard 42U Rack,Rack STG-R01 in Storage Room
EMEA-DC-CLOUD-STG-R02,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Storage Room,active,Standard 42U Rack,Rack STG-R02 in Storage Room
EMEA-DC-CLOUD-STG-R03,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Storage Room,active,Standard 42U Rack,Rack STG-R03 in Storage Room
EMEA-DC-CLOUD-MMR-R01,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Meet-Me Room,active,Standard 22U Rack,Rack MMR-R01 in Meet-Me Room
EMEA-DC-CLOUD-MMR-R02,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Meet-Me Room,active,Standard 22U Rack,Rack MMR-R02 in Meet-Me Room
EMEA-DC-ONPREM-NET-R01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,active,Standard 42U Rack,Rack NET-R01 in Network Core
EMEA-DC-ONPREM-NET-R02,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,active,Standard 42U Rack,Rack NET-R02 in Network Core
EMEA-DC-ONPREM-NET-R03,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,active,Standard 42U Rack,Rack NET-R03 in Network Core
EMEA-DC-ONPREM-NET-R04,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,active,Standard 42U Rack,Rack NET-R04 in Network Core
EMEA-DC-ONPREM-SRV-A-R01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,active,Standard 42U Rack,Rack SRV-A-R01 in Server Hall A
EMEA-DC-ONPREM-SRV-A-R02,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,active,Standard 42U Rack,Rack SRV-A-R02 in Server Hall A
EMEA-DC-ONPREM-SRV-A-R03,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,active,Standard 42U Rack,Rack SRV-A-R03 in Server Hall A
EMEA-DC-ONPREM-SRV-A-R04,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,active,Standard 42U Rack,Rack SRV-A-R04 in Server Hall A
EMEA-DC-ONPREM-SRV-A-R05,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,active,Standard 42U Rack,Rack SRV-A-R05 in Server Hall A
EMEA-DC-ONPREM-SRV-A-R06,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,active,Standard 42U Rack,Rack SRV-A-R06 in Server Hall A
EMEA-DC-ONPREM-SRV-B-R01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,active,Standard 42U Rack,Rack SRV-B-R01 in Server Hall B
EMEA-DC-ONPREM-SRV-B-R02,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,active,Standard 42U Rack,Rack SRV-B-R02 in Server Hall B
EMEA-DC-ONPREM-SRV-B-R03,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,active,Standard 42U Rack,Rack SRV-B-R03 in Server Hall B
EMEA-DC-ONPREM-SRV-B-R04,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,active,Standard 42U Rack,Rack SRV-B-R04 in Server Hall B
EMEA-DC-ONPREM-SRV-B-R05,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,active,Standard 42U Rack,Rack SRV-B-R05 in Server Hall B
EMEA-DC-ONPREM-SRV-B-R06,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,active,Standard 42U Rack,Rack SRV-B-R06 in Server Hall B
EMEA-DC-ONPREM-STG-R01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Storage Room,active,Standard 42U Rack,Rack STG-R01 in Storage Room
EMEA-DC-ONPREM-STG-R02,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Storage Room,active,Standard 42U Rack,Rack STG-R02 in Storage Room
EMEA-DC-ONPREM-STG-R03,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Storage Room,active,Standard 42U Rack,Rack STG-R03 in Storage Room
EMEA-DC-ONPREM-MMR-R01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Meet-Me Room,active,Standard 22U Rack,Rack MMR-R01 in Meet-Me Room
